"Bill of Material for "
"On 3/4/2017 at 10:37:44 PM"

"Comment","Pattern","Quantity","Components"

"100","0207/10","1","R2","Resistor"
"100K","0207/10","2","R10, R16","Resistor"
"100nF","C025-024X044","4","C6, C7, C8, C9","Capacitor"
"100nF","C0805","2","C1, C2","Capacitor"
"100uF","E2,5-5","1","C5","Polarized Capacitor (Radial)"
"10K","0207/10","4","R4, R13, R17, R18","Resistor"
"10uF","E2,5-5","2","C3, C4","Polarized Capacitor (Radial)"
"10uH","0207/10","1","L1","Inductor"
"12K","0207/10","2","R9, R15","Resistor"
"16MHz","HC49US","1","Y1","Crystal Oscillator"
"18K","0207/10","1","R1","Resistor"
"1N4002","DO41-10","1","D2","Default Diode"
"1uF","E2,5-5","2","C10, C13","Polarized Capacitor (Radial)"
"220","0207/10","1","R3","Resistor"
"22K","0207/10","3","R5, R8, R14","Resistor"
"22pF","C025-024X044","2","C11, C12","Capacitor"
"300","CA6V","2","R11, R12","Variable Resistor"
"330","0207/10","1","R7","Resistor"
"6K8","0207/10","1","R6","Resistor"
"ATmega328P-PU","28P3","1","U3","8-bit AVR Microcontroller, 32KB Flash, 1KB EEPROM, 2KB SRAM, 28-pin PDIP, Industrial Grade (-40°C to 85°C)"
"FT232RL-Tube","SSOP-28_N","1","U1","USB UART Asynchronous Serial Data Transfer Chip, SSOP-28, Tube"
"Header 2","HDR1X2","4","P3, P4, P5, P6","Header, 2-Pin"
"Header 2","W237-132","3","P1, P2, P9","Header, 2-Pin"
"Header 3X2","HDR2X3","1","P8","Header, 3-Pin, Dual row"
"Header 5","W237-6P","1","P7","Header, 5-Pin"
"IRF640N","TO220V","1","Q1","N-Channel MOSFET"
"LED0","LED3MM","2","D1, D3","Typical INFRARED GaAs LED"
"LM324AN","646-06","1","U2","Quad Low-Power Operational Amplifier"
"SW-PB","TACTILE-PTH","1","S1","Switch"
"Type B","USB-B-PTH","1","J1",""
"Volt Reg","TO220V","1","VR1","Voltage Regulator"
